Fecha,Activa (kW),Reactiva (kVAR)
2015-09-02 00:01:00,201.99965122714283,1.9994346073714286
2015-09-02 00:02:00,201.88153948142858,1.8674462182142857
2015-09-02 00:03:00,200.73252650714286,1.1424491064885713
2015-09-02 00:04:00,206.26367187428573,2.680637087142857
2015-09-02 00:05:00,198.57125418571428,0.4157566343028572
2015-09-02 00:06:00,199.20288086,1.7922815595285715
2015-09-02 00:07:00,199.39892578142857,1.288286754062857
2015-09-02 00:08:00,201.37512207,1.3540069035114288
2015-09-02 00:09:00,202.8814522885714,1.9343457903142858
2015-09-02 00:10:00,204.48981584857142,0.9071187973028572
2015-09-02 00:11:00,201.52043805857144,2.3414971487857144
2015-09-02 00:12:00,201.56628418,1.4753371647428573
2015-09-02 00:13:00,202.36936732714284,1.6548396519285713
2015-09-02 00:14:00,202.73756626714288,1.8460475376714283
2015-09-02 00:15:00,202.83112444142856,1.9524399893571427
2015-09-02 00:16:00,203.07338169714285,2.1884386879999997
2015-09-02 00:17:00,202.75619070857144,3.5456374032142857
2015-09-02 00:18:00,202.48472377285717,3.2670320783285716
2015-09-02 00:19:00,202.52279227142859,3.481503622871429
2015-09-02 00:20:00,200.56455775714286,2.603191375728571
2015-09-02 00:21:00,206.90780203714286,3.888997486657143
2015-09-02 00:22:00,199.26644461428572,1.2567071914671428
2015-09-02 00:23:00,198.75327846000002,1.34464086805
2015-09-02 00:24:00,201.36492048,2.3501052856428575
2015-09-02 00:25:00,208.6446010042857,1.1740624564028572
2015-09-02 00:26:00,201.29792131714288,1.5989422117
2015-09-02 00:27:00,198.07386997714283,0.7705462319514285
2015-09-02 00:28:00,199.17857142857142,1.0246665818357141
2015-09-02 00:29:00,198.77579171285714,0.9610619544985716
2015-09-02 00:30:00,197.93000139571427,1.0444715363642858
2015-09-02 00:31:00,202.87792968714285,2.4560786656
2015-09-02 00:32:00,199.6264474057143,1.6809737341714288
2015-09-02 00:33:00,200.24234444714284,2.2159144537857145
2015-09-02 00:34:00,202.92853655142858,5.360473632814285
2015-09-02 00:35:00,202.2421177457143,2.663731438771429
2015-09-02 00:36:00,201.05922153999998,4.0443938119
2015-09-02 00:37:00,199.71906389571427,1.4577699388714287
2015-09-02 00:38:00,201.30453055285716,2.3334642137857142
2015-09-02 00:39:00,202.31185477142859,3.8515099116714286
2015-09-02 00:40:00,202.5259835385714,3.6144447326714286
2015-09-02 00:41:00,200.0834089,3.0575250898142854
2015-09-02 00:42:00,200.48944963714285,3.0205252511142855
2015-09-02 00:43:00,197.83830915142858,1.2961939402985716
2015-09-02 00:44:00,199.23078264571427,1.7625092097714283
2015-09-02 00:45:00,199.15075683571428,1.3314954212728571
2015-09-02 00:46:00,203.87712751142857,2.0634613037142855
2015-09-02 00:47:00,200.17681012857142,2.6159073965857145
2015-09-02 00:48:00,200.69332449714287,0.82619714737
2015-09-02 00:49:00,200.62726702,2.7233600616428575
2015-09-02 00:50:00,199.05953543571428,1.4109247752599998
2015-09-02 00:51:00,200.99019949714287,2.3676616123714287
2015-09-02 00:52:00,199.83942522285716,2.3645951407285715
2015-09-02 00:53:00,200.91083635571428,2.375598362514286
2015-09-02 00:54:00,202.11401367142858,3.361296789985714
2015-09-02 00:55:00,206.01257324285714,6.560100010457142
2015-09-02 00:56:00,202.95422363285712,4.939834594728572
2015-09-02 00:57:00,203.92075892857142,3.9822788238571425
2015-09-02 00:58:00,202.48148018999998,2.231644221714286
2015-09-02 00:59:00,203.13244628857143,4.080768040242857
2015-09-02 01:00:00,203.28405761714288,3.5025607517857145
2015-09-02 01:01:00,202.0725272042857,3.8339857373857145
2015-09-02 01:02:00,199.4526890342857,1.0593364579342857
2015-09-02 01:03:00,201.40712193142855,3.6160766056571427
2015-09-02 01:04:00,204.4652274,4.005626405985715
2015-09-02 01:05:00,199.78320312571427,1.3524480547228575
2015-09-02 01:06:00,200.1822684157143,2.3530848366857144
2015-09-02 01:07:00,204.38691057428574,3.832945959914286
2015-09-02 01:08:00,201.2365897042857,2.8973966326
2015-09-02 01:09:00,201.23723493285712,3.0408709389857145
2015-09-02 01:10:00,201.60428292428574,3.364961079185714
2015-09-02 01:11:00,201.11912318571427,3.076669420514286
2015-09-02 01:12:00,204.28083147285716,3.2281600407142856
2015-09-02 01:13:00,200.72551618285712,1.3032638004842858
2015-09-02 01:14:00,200.23519461428572,1.1950001035414284
2015-09-02 01:15:00,200.79010881714288,2.464552198142857
2015-09-02 01:16:00,207.31569126714288,1.4463522774857143
2015-09-02 01:17:00,198.00467354857142,1.3718515123642856
2015-09-02 01:18:00,199.85548618857143,1.7454902103999999
2015-09-02 01:19:00,202.13839285714286,3.9163044520857144
2015-09-02 01:20:00,197.56352887857142,0.6287463733128572
2015-09-02 01:21:00,197.72544642857142,1.1821943010599998
2015-09-02 01:22:00,200.67827497142858,2.7928191593714287
2015-09-02 01:23:00,204.35344587,4.7142944336
2015-09-02 01:24:00,200.34361049142856,2.670818056385714
2015-09-02 01:25:00,200.62132045142857,2.5486466543999997
2015-09-02 01:26:00,202.4219447542857,3.0291020529571426
2015-09-02 01:27:00,205.60431780142858,4.049133845742857
2015-09-02 01:28:00,200.17522321428572,-4.2625100272
2015-09-02 01:29:00,200.61380440857144,-3.4759205409428566
2015-09-02 01:30:00,202.15687778999998,-1.8363015311142856
2015-09-02 01:31:00,201.73460170142857,-2.5931609017571433
2015-09-02 01:32:00,200.76161411857143,-3.010074887957143
2015-09-02 01:33:00,199.56563895142858,-4.394970485142857
2015-09-02 01:34:00,200.99782017285716,-3.0086740766285716
